t_s,h_Wm2K
1.882412060301507495e+02,5.134227273861390017e+01
1.892211055276382012e+02,5.134227273861390017e+01
1.902010050251256246e+02,5.134227273861390017e+01
1.911809045226130763e+02,5.134227273861390017e+01
1.921608040201004997e+02,5.134227273861390017e+01
1.931407035175879514e+02,5.134227273861390017e+01
1.941206030150753747e+02,5.134227273861390017e+01
1.951005025125628265e+02,5.134227273861390017e+01
1.960804020100502498e+02,5.134227273861390017e+01
1.970603015075377016e+02,5.134227273861390017e+01
1.980402010050251249e+02,5.134227273861390017e+01
1.990201005025125767e+02,5.134227273861390017e+01
2.000000000000000000e+02,5.134227273861390017e+01
